code;name;produkmui;nilai;label;ingredients;ing0;ing1;ing2;ing3;ing4;ing5;ing6;ing7;ing8;ing9;ing10;ing11;ing12;ing13;ing14;ing15;ing16;ing17;ing18;ing19;ing20;ing21;ing22;ing23;ing24;ing25;ing26;ing27;ing28;ing29;ing30;ing31;ing32;cert_bodies;expired;homepage;location
1090;Krisbee Snack Pillow Choco Lava;Emmh snack choco milk;25;0;cokelat pasta,padatan susu,kakao bubuk,pasta kacang hazel,perisa sintetik,pemanis alami,tepung terigu,beras,pewarna cokelat;cokelat pasta; padatan susu; kakao bubuk; pasta kacang hazel; perisa sintetik; pemanis alami; tepung terigu; beras; pewarna cokelat;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1091;Khong Guan Crackers Saltcheese Combociz;Jans bbq crackers;25;0;tepung terigu,gula,lemak nabati,keju bubuk,pewarna makanan,tartrazin ci,kuning fcf,ci-,susu bubuk,cokelat bubuk,garam,pati jagung,Bahan Pengembang,natrium bikarbonat,amonium bikarbonat;tepung terigu; gula; lemak nabati; keju bubuk pewarna makanan tartrazin ci,kuning fcf ci; susu bubuk; coklat bubuk; garam; pati jagung; bahan pengemnang natrium bikarbonat,amonium bikarbonat;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1092;Khong Guan Crackers Saltcheese Combociz;Jans bbq crackers;25;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1093;Kartika Toast Soesnack Chocolate;Toast chocolate;25;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1094;San Carlo Keripik Kentang Piu Gusto Paprika;Keripik kentang laasania;25;0;kentang,minyak nabati,bumbu rasa paprika,paprika,whey bubuk,penguat rasa mononatrium glutamat;kentang; minyak nabati; bumbu rasa paprika  paprika ;; whey bubuk; penguat rasa mononatrium glutamat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1096;Sie/Kim Teng-Teng;Teng-teng merk niasa;25;0;kacang tanah,gula pasir;kacang tanah; gula pasir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1097;Dilmah Greean Tea Jasmine Petals 20's Envelope;Dilmah tea jasmine,sjg;25;0;teh hijau,ekstrak melati,perisa melati;teh hijau; ekstrak melati,perisa melati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1098;Big Babol Candy Stick Blueberry;Stick roll cheese;25;0;gula,gum base,antioksidan bht,sirup glukosa,humektan,gliserol,triaseyin,pengatur keasaman,asam sitrat,asam tartrat,perisa sintetik,ekstrak blueberry,pewarna biru berlian ci,merah allura ci;gula; gum base antioksidan bht; sirup glukosa; humektan gliserol; triaseyin; pengatur keasaman,asam sitrat; asam tartrat; perisa sintetik; ekstrak blueberry ; pewarna biru berlian ci; merah allura ci;;;;;;;;;;;;;;;;;;;;;;;;;;
1099;Kraft Sandwich Oreo Chocolate Creme;Oreo chocolate cream-chocolate  sandwich cookies with chocolate cream;25;0;gula,tepung terigu,minyak nabati,antioksidan tbhq,bubukserbuk cokelat,sirup fruktosa,pati jagung,garam,pengembang,amonium,natrium bikarbonat,pengemulsi,lesitin kedelai,perisa Vanili;gula; tepung terigu; minyak nabati antioksidan tbhq; bubukserbuk coklat; sirup fruktosa; pati jagung; garam; pengembang amonium  natrium bikarbonat; pengemulsi lesitin kedelai; perisa vanilla;;;;;;;;;;;;;;;;;;;;;;;;;;;
1100;Chitato Snack Potato Chips Ayam Bumbu;Dlala original potato chips;25;0;kentang,minyak kelapa sawit,bumbu rasa ayam berempah rempah,penguat rasa mononatrium glutamat,dinatrium inosinat,dinatrium guanilat,hidrolisa protein nabati,pewarna makanan karamel,tartrazin ci,antioksidan tbhq;kentang; minyak kelapa sawit; bumbu rasa ayam berempah penguat rasa mononatrium glutamat; dinatrium inosinat; dinatrium guanilat; hidrolisa protein nabati; pewarna makanan karamel; tartrazin ci,antioksidan tbhq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1101;Happytos Snack Tortila Chips Hijau;Rempeyek kacang hijau;25;0;jagung murni;jagung murni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1102;Kit Kat Chocolate 4 Fingers;Nestle kit kat mini milk chocolate;25;0;gula,susu bubuk full cream,tepung terigu,kakao massa,lemak,minyak nabati,bubuk kakao,pengemulsi lesitin kedelai,makanan ragi,pengembang natrium bikarbonat,garam,pengembang kalsium karbonat,ragi,perisa Vanili;gula; susu bubuk full cream; tepung terigu; kakao massa; lemak,minyak nabati; bubuk kakao; pengemulsi lesitin kedelai; makanan ragi; pengembang natrium bikarbonat; garam; pengembang kalsium karbonat; ragi; perisa vanilin;;;;;;;;;;;;;;;;;;;;;;;;
1103;Selma Pumpkin Seeds;Pumpkin seeds,topping;25;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1104;Happytos Snack Tortila Chips Merah;Snack citos beras merah;25;0;jagung murni,garam;jagung murni; garam; tanpa bahan pengawet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1105;Roma Biscuit Susu+Selai Slai O'lai Blueberry;Roma slai o lai blueberry;25;0;tepung terigu,minyak nabati,gula,glukosa,fruktosa,gliserin,puree apel,susu bubuk,garam,pengemulsi lesitin kedelai,pengatur keasaman,penstabil nabati,pengembang,kalsium karbonat,konsentrat bluberi,perisa sintetik,pewarna makanan,premiks vitamin;tepung terigu; minyak nabati; gula; glukosa; fruktosa; gliserin; puree apel; susu bubuk; garam; pengemulsi lesitin kedelai; pengatur keasaman; penstabil nabati; pengembang; kalsium karbonat; konsentrat bluberi; perisa sintetik; pewarna makanan; premiks vitamin;;;;;;;;;;;;;;;;;;;
1106;Hampton Shortbread Pure Butter Chocolate;Chocolate almond butter nichoa chocolate;25;0;tepung terigu,mentega,gula pasir,cokelat chip,maizena,susu skim,garam;tepung terigu; mentega; gula pasir; coklat chip; maizena; susu skim; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1107;S-26 Procal Susu Bubuk Pertumbuhan 3 Vanilla;Frisian flag susu bubuk rasa vanilla;25;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1108;Pon,Brownies Kukus / Panggang Chocolate; brownies kukus;25;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1109;,cow Fortigro Susu Bubuk Instant Polybag;Milko susu bubuk instant rasa original;25;0;padatan susu,susu sapi,susu bubuk skim,lemak susu,maltodekstrin,minyak nabati,mineral,perisa identik alami,pengemulsi lesitin kedelai,premiks vitamin;padatan susu susu sapi; susu bubuk skim; lemak susu; maltodekstrin; minyak nabati;  mineral; perisa identik alami; pengemulsi lesitin kedelai,premiks vitamin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1110;Gery Snack Sereal;Sereal;25;0;gula,minyak nabati,cokelat bubuk,tepung terigu,Dekstrosa monohidrat,lemak reroti,antioksidan bha,susu bubuk,whey bubuk,tepung tapioka,pewarna karamel e,pewarna karamel e d,pengemulsi lesitin kedelai,garam,perisa artifisial Vanili;gula; minyak nabati; cokelat bubuk; tepung terigu; dextrosa monohidrat; lemak reroti antioksidan bha; susu bubuk; whey bubuk; tepung tapioka; pewarna karamel e  d; pengemulsi lesitin kedelai; garam; perisa artifisial vanilla;;;;;;;;;;;;;;;;;;;;;;;;
1111;Japota Potato Chips Happy Honey Butter;Dlala original potato chips;25;0;kentang,minyak kelapa sawit,bumbu rasa madu mentega;kentang; minyak kelapa sawit; bumbu rasa madu mentega;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1112;Serena Caramelised Biscuit Troy;Pink biscuit;25;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1113;Bihophar Acacia Honey;Makuka honey;25;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1114;Enam Tiga Premium Tea 20's Assorted;Ocha;25;0;teh oolong,teh oolong,melati,teh hitam,teh hijau;teh oolong; teh oolong  melati; teh hitam; teh hijau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1119;Anmum Susu Bubuk Ibu Hamil Materna Strawberry White Cokelat;Lovamil ibu hamil strawberry;2,30769E+15;0;susu bubuk tanpa lemak,susu bubuk,sukrosa,serat pangan inulin,lemak susu,kalsium karbonat,premiks mineral,bubuk dha,perisa sintetik stroberi,cokelat putih,premiks vitamin,bubuk stroberi,pewarna alami karmin clno;susu bubuk tanpa lemak; susu bubuk; sukrosa; serat pangan inulin; lemak susu; kalsium karbonat; premiks mineral; bubuk dha; perisa sintetik stroberi; cokelat putih; premiks vitamin; bubuk stroberi; pewarna alami karmin clno;;;;;;;;;;;;;;;;;;;;;;;;
1120;Kit Kat Chocolate 2 Fingers Multipack;Nestle kit kat mini milk chocolate;2,30769E+15;0;gula,susu bubuk full cream,tepung terigu,kakao massa,lemak,minyak nabati,bubuk kakao,pengemulsi lesitin kedelai,makanan ragi,pengembang natrium bikarbonat,garam,pengembang kalsium karbonat,ragi,perisa Vanili;gula; susu bubuk full cream; tepung terigu; kakao massa; lemak,minyak nabati; bubuk kakao; pengemulsi lesitin kedelai; makanan ragi; pengembang natrium bikarbonat; garam; pengembang kalsium karbonat; ragi; perisa vanilin;;;;;;;;;;;;;;;;;;;;;;;;
1121;Cimory Yoghurt Drink Low Fat Strawberry,Mango;Yummy yofit strawberry yoghurt drink;2,30769E+15;0;Susu Sapi,air,gula,susu skim bubuk,susu bubuk full krim,penstabil nabati,smoothie stroberi,puree stroberi,smoothie mangga,puree mangga,perisa sintetik stroberi,perisa alami mangga,kultur streptococcus thermophilus,lactobacillus delbrueckii subsp bulgaricus,pewarna alami,karmin ci ,kurkumin ci no ;susu sapi segar ; air; gula; susu skim bubuk; susu bubuk full krim; penstabil nabati; smoothie stroberi  puree stroberi ; smoothie mangga  puree mangga ; perisa sintetik stroberi; perisa alami mangga; kultur streptococcus thermophilus,lactobacillus delbrueckii subsp bulgaricus; pewarna alami karmin ci no,kurkumin ci no ;;;;;;;;;;;;;;;;;;;;;;;;;
1123;Khong Guan Crackers + Wafer Saltcheese Combo;Khong guan wafer dengan krim cokelat;2,30769E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1126;Nissin Longer Stick Biscuit;Walens - biskuit stik,stick biscuit ;2,30769E+15;0;tepung terigu,gula,minyak nabati,pengembang,susu,bubuk full cream,garam,perisa sintetik susu,penguat rasa mononatrium glutamat,pewarna tartrazin;tepung terigu; gula; minyak nabati; pengembang; susu; bubuk full cream; garam; perisa sintetik susu; penguat rasa mononatrium glutamat; pewarna tartrazin;;;;;;;;;;;;;;;;;;;;;;;;;;;
1128;Filippo Berio Olive Oil Extra Light;Tropicana slim extra virgin olive oil;2,30769E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1129;Pororo Minuman Berperisa Blueberry;Minuman yogurt berperisa berperisa blueberry,blueberry good yoghurt drinkyoforia;2,30769E+15;0;air,gula,susu skim bubuk,pengatur keasaman,asam sitrat,natrium dihidrogen sitrat,kalsium laktat,konsentrat buah Blueberry,kacang kedelai,perisa artifisial,Blueberry,anggur,citrus,pewarna kelas iv,konsentrat buah anggurvitamin d,sirup jagung tinggi fruktosa,pengemulsi,lesitin kedelai;air; gula; susu skim bubuk; pengatur keasamaan asam sitrat; natrium dihidrogen sitrat; kalsium laktat; konsentrat buah blueberi; kacang kedelai; perisa artifasial blueberi; anggur; citrus pewarna kelas iv; konsentrat buah anggurvitamin d; sirup jagung tinggi fruktosa; pengemulsi; lesitin kedelai;;;;;;;;;;;;;;;;;;;;;;
1131;Coolant Cooling Mountain Water Extract Lychee;Three legs cooltopia cooling water lychee;2,30769E+15;0;air,gula,madu,fruktosa,glukosa,konsentrat leci,perisa alami leci,pengatur keasaman,asam sitrat,kalsium laktat,pengawet kalium sorbat,kafein;air; gula; madu; fruktosa; glukosa; konsentrat leci; perisa alami leci; pengatur keasaman,asam sitrat  kalsium laktat; pengawet kalium sorbat; kafein;;;;;;;;;;;;;;;;;;;;;;;;;;;
1135;Khong Guan Crackers Salt,Pepper;Jans bbq crackers;2,30769E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1136;Monde Biscuit Genji Pie;Genji pie cap dyana;2,22222E+15;0;tepung terigu,margarine,antioksidan bha,pewarna beta karoten ci  anato ci,kurkumin ci,lemak nabati,antioksidan bha,gula,garam;tepung terigu; margarine antioksidan bha,pewarna beta karoten ci  anato ci ; kurkumin ci ; lemak nabati antioksidan bha; gula; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1137;Oatbits Biskuit Oat Strawbery,Yogurt;Biskuit oat gandum;2,22222E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1138;Gery Kraker Beras Asin;Snack citos beras merah rasa asin;2,22222E+15;0;minyak nabati,gula,glukosa,kecap bubuk,garam,penguat rasa,;minyak nabati; gula; glukosa; kecap bubuk; garam; penguat rasa; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1139;Monde Biscuit Bourbon Black Vanila;Biscuit for black thunder;2,22222E+15;0;tepung terigu,lemak nabati,gula,cokelat hitam bubuk,susu bubuk full cream,garam,pengembang,pengemulsi lesitin kedelai,perisa makanan artifisial;tepung terigu; lemak nabati; gula; cokelat hitam bubuk; susu bubuk full cream; garam; pengembang; pengemulsi lesitin kedelai; perisa makanan artifasial;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1140;Abc Kopi Instant Kopi,Gula+Susu;Kopi abc white coffe;2,22222E+15;0;gula,krimer nabati,kopi bubuk,susu bubuk skim;gula; krimer nabati; kopi bubuk; susu bubuk skim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1141;Cip Corned Beef Mushrooms;Macaroni corned beef;2,22222E+15;0;daging sapi,jamur,air,garam,sodium nitrit;daging sapi; jamur; air; garam; sodium nitrit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1143;Pronas Chunky Corned Beef;Macaroni corned beef;2,22222E+15;0;protein nabati,daging sapi,air,terigu,garam,gula,bumbu-bumbu,penstabil natrium tripolifosfat,penguat rasa,msg,antioksidan pengawet natrium nitrat;protein nabati; daging sapi; air; terigu;garam; gula; bumbubumbu; penstabil natrium tripolifosfat; penguat rasa; msg; antioksidan ; pengawet natrium nitrat;;;;;;;;;;;;;;;;;;;;;;;;;
1144;Pronas Corned Beef Classic;Macaroni corned beef;2,22222E+15;0;daging sapi,air,terigu,protein kedelai,garam,gula,bumbu,cabai bubuk,penguat rasa mononatrium glutamat,pengawet natrium nitrit;daging sapi; air; terigu; protein kedelai; garam; gula; bumbu; cabe bubuk; penguat rasa mononatrium glutamat; pengawet natrium nitrit;;;;;;;;;;;;;;;;;;;;;;;;;;;
1145;Gery Crackers Malkist Saluut Matcha Latte;Alfamidi matcha latte;2,22222E+15;0;tepung terigu,lemak nabati,gula,susu bubuk full cream,whey bubuk,krimmer nabati,minyak nabati,pati jagung,maltodekstrin,dekstrosa monohidrat,malt ekstra,pengental nabati,ragi,teh hijau bubuk,garam,pengembang,pengemulsi nabati,penstabil dinatrium difosfat,perisa,premiks vitamin,pewarna makanan;tepung terigu; lemak nabati; gula; susu bubuk full cream; whey bubuk; krimmer nabati; minyak nabati; pati jagung; maltodekstrin; dekstrosa monohidrat; malt ekstra; pengental nabati; ragi; teh hijau bubuk; garam; pengembang; pengemulsi nabati; penstabil dinatrium difosfat; perisa; premiks vitamin; pewarna makanan;;;;;;;;;;;;;;;;
1146;Taro Snack Italian Pizza;Makaroni spiral rasa pizza zaira;2,22222E+15;0;tepung terigu,minyak nabati,tapioka,bumbu rasa pizza,susu bubuk,penguat rasa msg,mononatrium glutamat,dinatrium inosinat,guanilat,rempah-rempah rempah,bubuk keju,ekstrak ragi,gula,garam,pengembang;tepung terigu; minyak nabati; tapioka; bumbu rasa pizza susu bubuk; penguat rasa msg mononatrium glutamat; dinatrium inosinat,guanilat; rempahrempah; bubuk keju; ekstrak ragi; gula; garam; pengembang;;;;;;;;;;;;;;;;;;;;;;;;;
1147;Nescafe Gold Original Special Edition;Pie susu special original;2,22222E+15;0; freeze dried soluble coffe powder; freeze dried soluble coffe powder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1148;Lea,Perrins Worcestershire Sauce;Kikkoman worcestershire sauce;2,22222E+15;0;cuka gandum,cuka spirit,molasses,gula,garam,ikan;cuka gandum; cuka spirit; molasses; gula; garam; ikan; dll;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1149;Arnott's Biscuit Nyam-Nyam Fantasy Stick Choco;Choco stick;2,22222E+15;0;tepung terigu,gula,minyak nabati,cokelat bubuk,whey,sirup fruktosa,garam,pengemulsi,lesitin kedelai,pengembang,natrium bikarbonat,perisa artifisial Vanili,pewarna makanan,tartrazin ci no;tepung terigu; gula; minyak nabati; coklat bubuk; whey; sirup fruktosa; garam; pengemulsi lesitin kedelai; pengembang natrium bikarbonat; perisa artifisial vanila; pewarna makanan tartrazin ci no;;;;;;;;;;;;;;;;;;;;;;;;;;
1150;Mi Gemez Snack Mie Kering Enaak Premium;Mie kering;2,22222E+15;0;tepung terigu,tepung tapioka,minyak sayur,bawang merah,bawang putih,perisa ayam,kecap,gula,penguat rasa mononatrium glutamat,garam,natrium karbonat,natrium polifosfat,guar gum,pemanis sukralosa,pewarna makanan ponceau r ci,pewarna makanan cokelat ht ci,pewarna makanan tartrazin ci,pewarna makanan kuning fcf ci ;tepung terigu; tepung tapioka; minyak sayur; bawang merah; bawang putih; perisa ayam; kecap; gula; penguat rasa mononatrium glutamat; garam; natrium karbonat; natrium polifosfat; guar gum; pemanis sukralosa; pewarna makanan ponceau r ci ; pewarna makanan coklat ht ci ; pewarna makanan tartrazin ci ; pewarna makanan kuning fcf ci ;;;;;;;;;;;;;;;;;;;
1151;S,B Golden Curry Mix Hot;Fish curry;2,22222E+15;0;tepung terigu,minyak nabati,garam,kari bubuk,gula,penguat rasa,mononatrium l-glutamat,dinatrium  -inosinat,dinatrium ;tepung terigu; minyak nabati; garam; kari bubuk; gula; penguat rasa mononatrium lglutamat; dinatrium  inosinat; dinatrium ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1152;Pronas Corned Beef Kornetku;Macaroni corned beef;2,22222E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1153;Pronas Corned Beef Kornetku;Macaroni corned beef;2,22222E+15;0;daging sapi,protein kedelai,air,terigu,garam,bumbu-bumbu,penguat rasa mononatrium glutamat,Asam Askorbat,gula,merica,sekuestran natrium polifosfat,pengawet natrium nitrit;daging sapi; protein kedelai; air; terigu; garam; bumbubumbu penguat rasa mononatrium glutamat; antioksidan asam askorbat; gula; merica; sekuestran natrium polifosfat; pengawet natrium nitrit;;;;;;;;;;;;;;;;;;;;;;;;;;
1154;22 Seafood Tuna Steak;Steak tuna merah sauce putih;2,22222E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1155;Big Babol Filifolly Gum;Yupi big burger;2,22222E+15;0;gula,sirup glukosa,gum base,antioksidan bht,perisa sintetik tutti frutti,pewarna alami merah bit,pengemulsi nabati,gula,sirup glukosa,gum base,antioksidan bht,perisa sintetik stroberi,pewarna alami merah bit,pengemulsi nabati;rasa tutti frutti gula; sirup glukosa; gum base antioksidan bht; perisa sintetik tutti frutti; pewarna alami merah bit; pengemulsi nabati rasa stroberi gula; sirup glukosa; gum base antioksidan bht; perisa sintetik stroberi; pewarna alami merah bit; pengemulsi nabati;;;;;;;;;;;;;;;;;;;;;;;;;;
1157;Binggrae flavoured Uht Milk Banana;Nescafe banana uht;2,22222E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1158;Max Creamer Coffee Mate;Nestle coffee-mate coffee creamer 1;2,22222E+15;0;sirup jagung,minyak nabati,kaseinat,penstabil,dikalium posfat,natrium posfat,pengemulsi,antikempal silikon dioksida;sirup jagung; minyak nabati; kaseinat; penstabil dikalium posfat,natrium posfat; pengemulsi; antikempal silikon dioksida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1159;Lotte Minuman Bersoda Milkis Banana;Tfn minuman serbuk rasa banana;2,22222E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1160;Oishi Snack Popcorn Karamel;Ninong snack sriping pisang rasa karamel;2,22222E+15;0;gula,jagung berondong,glukosa,minyak nabati,antioksidan tbhq,lemak susu anhidrat,krimer nabati,garam,pengemulsi,lesitin kedelai,perisa artifisial karamel,antioksidan bht,pengembang,natrium bikarbonat;gula; jagung berondong; glukosa; minyak nabati antioksidan tbhq; lemak susu anhidrat; krimer nabati; garam; pengemulsi lesitin kedelai; perisa artifisial karamel antioksidan bht;,pengembang natrium bikarbonat;;;;;;;;;;;;;;;;;;;;;;;;;;;
1161;Lotte Minuman Bersoda Milkis Strawberry;Minuman serbuk strawberry;2,22222E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1162;Lotte Minuman Chilsung Cider Lemon;Minuman lemon lemonchie;2,22222E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1163;Tokpoki Korean Rice Cake K-Poki Mild;Rice cake,rc-01;2,22222E+15;0;kue beras,beras,alkohol,pengemulsi nabati,garam;kue beras tokpoki beras; alkohol ; pengemulsi nabati; garam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1164;Nong Shim Instant Noodle Udon;Udon noodle;2,22222E+15;0;tepung gandum,minyak nabati,pati kentang,minyak nabati,garam,pengatur keasaman,kalium karbonat,perisa alami riboflavin,ekstrak teh hijau,garam,ekstrak ragi,penguat rasa,mononatrium glutamat,dinatrium ribonukleotida,protein nabati terhidrolisis,bubuk pasta kedelai,maltodekstrin,gula,bumbu,bubuk cabai,ekstrak cabai,ekstrak jamur,pewarna alami karamel,ea,minyak nabati,tepung jagung,sirup malt,kubis kering,wortel kering,kucai kering;mi tepung gandum; minyak nabati; pati kentang; minyak nabati; garam; pengatur keasaman,kalium karbonat; perisa alami riboflavin; ekstrak teh hijau bumbu garam; ekstrak ragi; penguat rasa mononatrium glutamat  dinatrium ribonukleotida; protein nabati terhidrolisis; bubuk pasta kedelai; maltodekstrin; gula; bumbu; bubuk cabai; ekstrak cabai; ekstrak jamur; pewarna alami karamel ea; minyak nabati; tepung jagung; sirup malt sayurkubis kering;wortel kering; kucai kering;;;;;;;;;;;;;
1165;Arnott's Nyam-Nyam Pop Stix Chocolate;Pop crispy banana chocolate classic;2,22222E+15;0;gula,tepung terigu,minyak nabati,maltodekstrin,kakao bubuk,whey bubuk,dekstrosa,tepung ketan,garam,pengemulsi nabati,perisa sintetik,pewarna makanan;gula; tepung terigu; minyak nabati; maltodekstrin; kakao bubuk; whey bubuk; dekstrosa; tepung ketan; garam; pengemulsi nabati; perisa sintetik; pewarna makanan;;;;;;;;;;;;;;;;;;;;;;;;;
1166;Indomaret Air Oksi;Indomaret  - air mineral;2,22222E+15;0;air mineral;air mineral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1167;Kolln Crunchy Muesli Choco Brittle;Cookies choco crunchy;2,22222E+15;0;serpihan oat,gula,pengawet sulfit,minyak nabati,tepung gandum,serpihan gandum,sirup glukosa,fruktosa,kacang hezelnut,kakao massa,lemak kakao,cokelat rendah lemak,tepung oat,sirup karamel,sirup gula invert,ekstrak barley malt,garam,pengemulsi lesitin,kedelai;serpihan oat ; gula pengawet sulfit; minyak nabati; tepung gandum; serpihan gandum ; sirup glukosa,fruktosa; kacang hezelnut ; kakao massa ; lemak kakao ; coklat rendah lemak ; tepung oat ; sirup karamel; sirup gula invert; ekstrak barley malt; garam; pengemulsi lesitin; kedelai;;;;;;;;;;;;;;;;;;;;
1168;Diabetasol Susu Formula Diabetes Vita Digest Vanila;Roti vanila susu;2,22222E+15;0;maltodekstrin,minyak nabati,kaseinat,dekstrin,protein whey,isomaltulosa,inulin,pemanis alami sorbitol,perisa identik alami,Vanili,susu,pengemulsi lesitin kedelai,pemanis buatan sukralosa,mineral,vitamin;maltodekstrin; minyak nabati; kaseinat; dekstrin; protein whey; isomaltulosa; inulin; pemanis alami sorbitol; perisa identik alami vanila; susu; pengemulsi lesitin kedelai; pemanis buatan sukralosa; mineral;,vitamin;;;;;;;;;;;;;;;;;;;;;;;
1170;Ensure Nutrition Powder Fos Vanila;Zee powder vanila;2,22222E+15;0;pati jagung terhidrolisa,natrium,kalsium kaseinat,sukrosa,minyak bunga matahari tinggi oleat,mineral,minyak kedelai,isolat protein kedelai,frukto-oligosakarida,inulin,isolat protein susu,minyak kanola,perisa artifisial Vanili,vitamin;pati jagung terhidrolisa; natrium,kalsium kaseinat; sukrosa; minyak bunga matahari tinggi oleat; mineral; minyak kedelai; isolat protein kedelai; fruktooligosakarida; inulin; isolat protein susu; minyak kanola; perisa artifasial vanila; vitamin;;;;;;;;;;;;;;;;;;;;;;;;
1171;Energen Cereal,Susu Instant Cokelat;Susu cokelat;2,22222E+15;0;gula,krimer,terigu,susu bubuk,kakao bubuk,jagung,oat,kalsium karbonat,garam,premiks vitamin,telur,ektrak malt;gula; krimer; terigu; susu bubuk; kakao bubuk; jagung; oat; kalsium karbonat; garam; premiks vitamin; telur; ektrak malt;;;;;;;;;;;;;;;;;;;;;;;;;
1172;Fruitamin Minuman Coco Bit Lychee;Coco lychee tea;2,22222E+15;0;air,gula,nata de coco,sari buah apel,leci,penstabil,kalsium laktat,natrium karboksimetil selulosa,gom gelan,pengatur keasaman,asam sitrat,trinatrium sitrat,air kelapa,perisa identik alami leci,mangga;air; gula; nata de coco ; sari buah apel,leci ; penstabil kalsium laktat; natrium karboksimetil selulosa,gom gelan; pengatur keasaman,asam sitrat,trinatrium sitrat; air kelapa ;perisa identik alami leci,mangga;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1173;Indomaret Dehydrated Fruit Mangga;Walls solero fruit mangga;2,22222E+15;0;buah mangga,gula,garam,pewarna makanan sodium benzoat;buah mangga; gula; garam; pewarna makanan sodium benzoat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1174;Wanted Snack Tortilla Chips Chili;Tortilla chips;2,22222E+15;0;tepung jagung,minyak bunga matahari,bumbu rasa pedas;tepungjagung; minyakbungamatahari; bumbu rasa pedas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1178;Binggrae flavoured Uht Milk Melon;Melon milk;2,22222E+15;0;kosong;kosong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1179;Budy Jam Pindekas;Selai coklat budy jam;2,22222E+15;0;kacang tanah,gula,lemak nabati,garam,anti oksidan,bht;kacang tanah; gula; lemak nabati; garam; anti oksidan,bht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1180;Olatte Minuman Milky,Fruity Pear;Milky fruity minuman susu rasa anggur;2,14286E+16;0;air,sirup jagung tinggi fruktosa,susu skim bubuk,konsentrat sari buah pir,penstabil kalsium laktat,maltodekstrin,pengatur keasaman,perisa alami limau,pemanis buatan sukralosa;air; sirup jagung tinggi fruktosa; susu skim bubuk; konsentrat sari buah pir; penstabil kalsium laktat; maltodekstrin; pengatur keasaman; perisa almi limau; pemanis buatan sukralosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
