,Produk,produkindo,produkmui,produsen,sertif,nilai
565,Frestea Minuman Teh Aroma Melati|Nutu minuman teh hijau aroma melati|Cv. panen lestari|15120060340720|0.4,Frestea Minuman Teh Aroma Melati,Nutu minuman teh hijau aroma melati,Cv. panen lestari,15120060340720,0.4
563,Harada Green Tea Bag|Tema green tea|Tema tea|00120101910120|0.4,Harada Green Tea Bag,Tema green tea,Tema tea,00120101910120,0.4
205,Astor Wafer Stick Cokelat|Astor wafer roll cokelat mini stick|Pt. mayora indah tbk|00100014301200|0.4,Astor Wafer Stick Cokelat,Astor wafer roll cokelat mini stick,Pt. mayora indah tbk,00100014301200,0.4
783,Muria Telur Ikan|Telur ikan merk indosari|Indosari|01101055820111|0.4,Muria Telur Ikan,Telur ikan merk indosari,Indosari,01101055820111,0.4
201,Hollanda Butter Cookies|Clarinta cookies|Yona  butter cookies|01201225260419|0.4,Hollanda Butter Cookies,Clarinta cookies,Yona  butter cookies,01201225260419,0.4
1149,Sedaap Mie Instant Goreng|Mie sedaap instant - mi goreng|Prakarsa alam segar pt.|00090036380805|0.4,Sedaap Mie Instant Goreng,Mie sedaap instant - mi goreng,Prakarsa alam segar pt.,00090036380805,0.4
477,Dua Kelinci Snack Krip Krip Tortilla Nacho Cheese|Krip-krip tortilla rasa nacho cheese|Pt. dua kelinci|00100017571001|0.4,Dua Kelinci Snack Krip Krip Tortilla Nacho Cheese,Krip-krip tortilla rasa nacho cheese,Pt. dua kelinci,00100017571001,0.4
740,Oishi Snack Pillows Ubi|Ubi zalwa|Zalwa snack|02120013880919|0.4,Oishi Snack Pillows Ubi,Ubi zalwa,Zalwa snack,02120013880919,0.4
635,Kobe Tepung Roti|Menil tepung premix roti|Menil|01111089680713|0.4,Kobe Tepung Roti,Menil tepung premix roti,Menil,01111089680713,0.4
617,Indomaret Jam Pineapple|Pineapple jam|Ud.bali asli|08250005461112|0.4,Indomaret Jam Pineapple,Pineapple jam,Ud.bali asli,08250005461112,0.4
167,Caffino Kopi Instant 3 In 1 Classic|Kopi hijrah sachet 3 in 1|Ppkopclp  hijrah|15120071240321|0.4,Caffino Kopi Instant 3 In 1 Classic,Kopi hijrah sachet 3 in 1,Ppkopclp  hijrah,15120071240321,0.4
1054,Totole Bumbu Kaldu Jamur|Gurih-ya kaldu jamur|Gurih-ya|00060105030720|0.4,Totole Bumbu Kaldu Jamur,Gurih-ya kaldu jamur,Gurih-ya,00060105030720,0.4
399,Dk Kacang Sukro|Kacang sukro merk aiti|Aiti|01101163680416|0.4,Dk Kacang Sukro,Kacang sukro merk aiti,Aiti,01101163680416,0.4
1252,Mr.Bread Roti Isi Abon Ayam Mayo Pedas|Roti abon ayam pedas|Pt. lottemart indonesia|00160090860918|0.4,Mr.Bread Roti Isi Abon Ayam Mayo Pedas,Roti abon ayam pedas,Pt. lottemart indonesia,00160090860918,0.4
1171,Maya Sardine In Tomato Sauce|Adabi sardine in tomato sauce|Adabi consumer industries sdn bhd|00030101730120|0.4,Maya Sardine In Tomato Sauce,Adabi sardine in tomato sauce,Adabi consumer industries sdn bhd,00030101730120,0.4
615,Indomaret Jam Strawberry|Strawberry jam|Ud.bali asli|08250005461112|0.4,Indomaret Jam Strawberry,Strawberry jam,Ud.bali asli,08250005461112,0.4
451,"Glico Biscuit Pocky Cookies & Cream|Pocky cookies &amp; cream|Thai glico co., ltd.|00100078150816|0.4",Glico Biscuit Pocky Cookies & Cream,Pocky cookies &amp; cream,"Thai glico co., ltd.",00100078150816,0.4
1166,Fiesta Mackerel In Chili Sauce|Mackerel in chili sauce  pronas|Pt. gema ista raya|00030072900615|0.4,Fiesta Mackerel In Chili Sauce,Mackerel in chili sauce  pronas,Pt. gema ista raya,00030072900615,0.4
612,Indomaret Gula Halus|Gula halus|Sukses mandiri|01231163850416|0.4,Indomaret Gula Halus,Gula halus,Sukses mandiri,01231163850416,0.4
490,Kraft Keju Cake|Sponge keju cake|Esthree|15160029640418|0.4,Kraft Keju Cake,Sponge keju cake,Esthree,15160029640418,0.4
608,Indomaret Minuman Teh Apel|Indomaret - minuman teh rasa apel|Pt. dima beverages international|00120086031217|0.4,Indomaret Minuman Teh Apel,Indomaret - minuman teh rasa apel,Pt. dima beverages international,00120086031217,0.4
1158,Sarimi Mi Instan Goreng Ayam Kremess|Sarimi mi instan goreng rasa ayam kremess|Pt. indofood cbp sukses makmur tbk divisi noodle|00090000300799|0.4,Sarimi Mi Instan Goreng Ayam Kremess,Sarimi mi instan goreng rasa ayam kremess,Pt. indofood cbp sukses makmur tbk divisi noodle,00090000300799,0.4
943,Tao Kae Noi Tempura Seaweed Spicy|Tao kae noi hi tempura seaweed hot spicy flavour|Tao kae noi food &amp; marketing public company limited|00100078080816|0.4,Tao Kae Noi Tempura Seaweed Spicy,Tao kae noi hi tempura seaweed hot spicy flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,0.4
605,Indomaret Teh Hitam Celup|Indomaret teh hitam celup bti|Pt. tong tji tea indonesia|00120017230901|0.4,Indomaret Teh Hitam Celup,Indomaret teh hitam celup bti,Pt. tong tji tea indonesia,00120017230901,0.4
793,Monde Cookies Serena Egg Roll|Monde serena kukis egg roll (original)|Pt. monde mahkota biskuit|00100039290306|0.4,Monde Cookies Serena Egg Roll,Monde serena kukis egg roll (original),Pt. monde mahkota biskuit,00100039290306,0.4
46,Mogu-Mogu Minuman Nata De Coco Lychee|Arora minuman nata de coco|Pt.kosena lestari makmur|303/spkp/mui-jatim|0.4,Mogu-Mogu Minuman Nata De Coco Lychee,Arora minuman nata de coco,Pt.kosena lestari makmur,303/spkp/mui-jatim,0.4
1125,Pop Mie Mi Instan Pake Nasi Soto Ayam|Pop mie mi instan cup rasa soto ayam dengan nasi|Pt. indofood cbp sukses makmur tbk divisi noodle|00090000300799|0.3888888888888889,Pop Mie Mi Instan Pake Nasi Soto Ayam,Pop mie mi instan cup rasa soto ayam dengan nasi,Pt. indofood cbp sukses makmur tbk divisi noodle,00090000300799,0.3888888888888889
219,Kapal Api Kopi Bubuk Special Mix|Kopi kapal api special mix (susu/tanpa susu)|Warung bansus mang apet mancur|00160099631019|0.38461538461538464,Kapal Api Kopi Bubuk Special Mix,Kopi kapal api special mix (susu/tanpa susu),Warung bansus mang apet mancur,00160099631019,0.38461538461538464
637,Goody Pudding With Nata De Coco 3's Lychee|Frestea lychee with nata de coco|Pt. coca-cola bottling indonesia|00120071760115|0.38461538461538464,Goody Pudding With Nata De Coco 3's Lychee,Frestea lychee with nata de coco,Pt. coca-cola bottling indonesia,00120071760115,0.38461538461538464
1142,Sedaap Mie Instant White Curry|Mie sedaap instant mi kuah instan rasa white curry|Prakarsa alam segar pt.|00090036380805|0.38461538461538464,Sedaap Mie Instant White Curry,Mie sedaap instant mi kuah instan rasa white curry,Prakarsa alam segar pt.,00090036380805,0.38461538461538464
1081,Filippo Berio Olive Oil Extra Virgin Spray|Tropicana slim extra virgin olive oil spray|Pt. nutrifood indonesia (sovena)|00080103090320|0.38461538461538464,Filippo Berio Olive Oil Extra Virgin Spray,Tropicana slim extra virgin olive oil spray,Pt. nutrifood indonesia (sovena),00080103090320,0.38461538461538464
169,Caffino Kopi Instant 3 In 1 Choco Hazelnut|Caffino instant coffee choco hazelnut (myanmar)|Pt. sumber kopi prima| 00120092891218|0.38461538461538464,Caffino Kopi Instant 3 In 1 Choco Hazelnut,Caffino instant coffee choco hazelnut (myanmar),Pt. sumber kopi prima, 00120092891218,0.38461538461538464
1145,Sedaap Mie Instant Kari Spesial|Mie sedaap instant - mi kuah rasa kari spesial|Prakarsa alam segar pt.|00090036380805|0.38461538461538464,Sedaap Mie Instant Kari Spesial,Mie sedaap instant - mi kuah rasa kari spesial,Prakarsa alam segar pt.,00090036380805,0.38461538461538464
472,East Bali Sea Salt Cashew Nuts|East bali cashews - sea salt cashew|Pt. sari coffee indonesia (starbucks)| 00160070260914|0.38461538461538464,East Bali Sea Salt Cashew Nuts,East bali cashews - sea salt cashew,Pt. sari coffee indonesia (starbucks), 00160070260914,0.38461538461538464
906,Roma Crackers Malkist Abon|Roma malkist abon|Pt. mayora indah tbk|00100014301200|0.375,Roma Crackers Malkist Abon,Roma malkist abon,Pt. mayora indah tbk,00100014301200,0.375
907,Roma Crackers Cream|Biskuit roma cream crackers|Pt. mayora indah tbk|00100014301200|0.375,Roma Crackers Cream,Biskuit roma cream crackers,Pt. mayora indah tbk,00100014301200,0.375
586,Javana Minuman Teh Melati|Aromma minuman teh melati|Pt. cahaya tirta aromma|00120076560416|0.375,Javana Minuman Teh Melati,Aromma minuman teh melati,Pt. cahaya tirta aromma,00120076560416,0.375
443,Hampton Chocolate Chip Cookies|Chocolate chip cookies|Jawara roti &amp; kue|09160011620919|0.375,Hampton Chocolate Chip Cookies,Chocolate chip cookies,Jawara roti &amp; kue,09160011620919,0.375
908,Roma Crackers Malkist|Biskuit roma  malkist crackers|Pt. mayora indah tbk|00100014301200|0.375,Roma Crackers Malkist,Biskuit roma  malkist crackers,Pt. mayora indah tbk,00100014301200,0.375
918,Roma Biscuit Sari Gandum|Roma sari gandum|Pt. mayora indah tbk|00100014301200|0.375,Roma Biscuit Sari Gandum,Roma sari gandum,Pt. mayora indah tbk,00100014301200,0.375
446,"Glico Biscuit Pretz Corn|Pretz sweet corn|Thai glico co., ltd.|00100078150816|0.375",Glico Biscuit Pretz Corn,Pretz sweet corn,"Thai glico co., ltd.",00100078150816,0.375
579,S-Tee Minuman Teh Melati|Aromma minuman teh melati|Pt. cahaya tirta aromma|00120076560416|0.375,S-Tee Minuman Teh Melati,Aromma minuman teh melati,Pt. cahaya tirta aromma,00120076560416,0.375
905,Roma Crackers Malkist Cokelat|Roma malkist cokelat|Pt. mayora indah tbk|00100014301200|0.375,Roma Crackers Malkist Cokelat,Roma malkist cokelat,Pt. mayora indah tbk,00100014301200,0.375
967,Superstar Wafer Triple Chocolate|Superstar triple chocolate|Pt. mayora indah tbk|00100014301200|0.375,Superstar Wafer Triple Chocolate,Superstar triple chocolate,Pt. mayora indah tbk,00100014301200,0.375
585,Nu Minuman Green Tea Honey|Honey lemon green tea|Pt. santino|17120015111114|0.375,Nu Minuman Green Tea Honey,Honey lemon green tea,Pt. santino,17120015111114,0.375
442,"Glico Biscuit Stik Pretz Pizza|Pretz pizza|Thai glico co., ltd.|00100078150816|0.375",Glico Biscuit Stik Pretz Pizza,Pretz pizza,"Thai glico co., ltd.",00100078150816,0.375
694,Qtela Keripik Tempe Cabe Rawit|Keripik kentang rasa cabe rawit|Roso|09100008841117|0.375,Qtela Keripik Tempe Cabe Rawit,Keripik kentang rasa cabe rawit,Roso,09100008841117,0.375
762,Nissin Cookies Sagu Keju|Flamboyan sagu keju cookies|Pt. lottemart indonesia|00160090860918|0.375,Nissin Cookies Sagu Keju,Flamboyan sagu keju cookies,Pt. lottemart indonesia,00160090860918,0.375
674,Sasa Tepung Goreng Pisang|Seri-aji tepung goreng pisang|Pt. ajinomoto indonesia|00060008910908|0.375,Sasa Tepung Goreng Pisang,Seri-aji tepung goreng pisang,Pt. ajinomoto indonesia,00060008910908,0.375
602,Sariwangi Teh Melati 25 Teh Celup|Teh melati celup gambyong kemuning|Ppkopkrg teh gambyong|15120070660321|0.375,Sariwangi Teh Melati 25 Teh Celup,Teh melati celup gambyong kemuning,Ppkopkrg teh gambyong,15120070660321,0.375
613,Indomaret Gula Pasir Stick|Gula pasir kuning indomaret|Pt. sweetindo perkasa|00230110871120|0.375,Indomaret Gula Pasir Stick,Gula pasir kuning indomaret,Pt. sweetindo perkasa,00230110871120,0.375
795,Monde Biskuit Bourbon Cokelat|Homimi biskuit rasa cokelat|Pt. monde mahkota biskuit|00100039290306|0.375,Monde Biskuit Bourbon Cokelat,Homimi biskuit rasa cokelat,Pt. monde mahkota biskuit,00100039290306,0.375
751,Oatbits Biskuit Oat Choco Banana|Oatbits choco banana|Pt. agel langgeng|00100059331011|0.375,Oatbits Biskuit Oat Choco Banana,Oatbits choco banana,Pt. agel langgeng,00100059331011,0.375
485,Kraft Sandwich Oreo Peanut Butter & Chocolate Cream|Oreo peanut butter and chocolate flavored cream-chocolate sandwich cookies with peanut butter and chocolate flavored cream|Mondelez indonesia manufacturing|00100039270306|0.375,Kraft Sandwich Oreo Peanut Butter & Chocolate Cream,Oreo peanut butter and chocolate flavored cream-chocolate sandwich cookies with peanut butter and chocolate flavored cream,Mondelez indonesia manufacturing,00100039270306,0.375
616,Indomaret Gula Aren Stick|Gula aren jawa indomaret|Pt. sweetindo perkasa|00230110871120|0.375,Indomaret Gula Aren Stick,Gula aren jawa indomaret,Pt. sweetindo perkasa,00230110871120,0.375
817,Meiji Biscuit Hello Panda Cookies and Cream|Hello panda cookies and cream (kukis cokelat isi krim rasa susu)|Pt. meiji food indonesia|00100024040303|0.375,Meiji Biscuit Hello Panda Cookies and Cream,Hello panda cookies and cream (kukis cokelat isi krim rasa susu),Pt. meiji food indonesia,00100024040303,0.375
854,Indomaret Keripik Buah Apel|Garden fruit keripik buah apel|Umkm buyung|17190043821118|0.375,Indomaret Keripik Buah Apel,Garden fruit keripik buah apel,Umkm buyung,17190043821118,0.375
662,Indofood Sambal Ekstra Pedas|Sambal bawang ekstra pedas sriwon food|Ppkopsmg sriwon food|15060070150321|0.375,Indofood Sambal Ekstra Pedas,Sambal bawang ekstra pedas sriwon food,Ppkopsmg sriwon food,15060070150321,0.375
462,Fitchips Multigrain Chips Honey BBQ|Fitchips honey bbq|Pt. sanghiang perkasa|00100078440816|0.375,Fitchips Multigrain Chips Honey BBQ,Fitchips honey bbq,Pt. sanghiang perkasa,00100078440816,0.375
927,Twistko Snack Jagung Bakar|Ceumilanku basreng rasa jagung bakar|Intan snack|01101256731220|0.375,Twistko Snack Jagung Bakar,Ceumilanku basreng rasa jagung bakar,Intan snack,01101256731220,0.375
780,Nabati Richeese Wafer Krim Keju|Richeese wafer keju|Pt. richeese kuliner indonesia|00160067271213|0.375,Nabati Richeese Wafer Krim Keju,Richeese wafer keju,Pt. richeese kuliner indonesia,00160067271213,0.375
974,Indomaret Snack Kacang Panggang|Indomaret kacang asin panggang|Pt. gunanusa eramandiri|00100003000696|0.375,Indomaret Snack Kacang Panggang,Indomaret kacang asin panggang,Pt. gunanusa eramandiri,00100003000696,0.375
1226,Tresno Joyo Madu Kurma Tj|Madu kurma tj|Pt. ultra sakti|00120065130513|0.375,Tresno Joyo Madu Kurma Tj,Madu kurma tj,Pt. ultra sakti,00120065130513,0.375
118,Nabati Richoco Wafer White|Richoco nabati white|Pt. kaldu sari nabati indonesia|00100062440912|0.375,Nabati Richoco Wafer White,Richoco nabati white,Pt. kaldu sari nabati indonesia,00100062440912,0.375
1023,Beng-Beng Wafer Chocolate Maxx|Wafer beng-beng chocolate|Pt. mayora indah tbk|00100014301200|0.375,Beng-Beng Wafer Chocolate Maxx,Wafer beng-beng chocolate,Pt. mayora indah tbk,00100014301200,0.375
120,Roma Biscuit Festive Treats|Roma festive treats|Pt. mayora indah tbk|00100014301200|0.375,Roma Biscuit Festive Treats,Roma festive treats,Pt. mayora indah tbk,00100014301200,0.375
121,Nextar Nastar Cookies Pineapple|Nextar nastar pineapple|Pt. richeese kuliner indonesia|00160067271213|0.375,Nextar Nastar Cookies Pineapple,Nextar nastar pineapple,Pt. richeese kuliner indonesia,00160067271213,0.375
127,Good Time Cookies Pandan|Cookies good time|Pt. merek indah lestari|09160013010220|0.375,Good Time Cookies Pandan,Cookies good time,Pt. merek indah lestari,09160013010220,0.375
133,Roma Crackers Malkist Cappuccino|Roma malkist cappuccino|Pt. mayora indah tbk|00100014301200|0.375,Roma Crackers Malkist Cappuccino,Roma malkist cappuccino,Pt. mayora indah tbk,00100014301200,0.375
299,Rumah Lemon Pekanbaru Sari Lemon|Le fame sari lemon 200ml|Rumah lemon pku|05120021791220|0.375,Rumah Lemon Pekanbaru Sari Lemon,Le fame sari lemon 200ml,Rumah lemon pku,05120021791220,0.375
150,Abc Coffee Drink Chocomalt Coffee|Abc chocomalt coffee|Pt. santos jaya abadi|00120017110901|0.375,Abc Coffee Drink Chocomalt Coffee,Abc chocomalt coffee,Pt. santos jaya abadi,00120017110901,0.375
1041,Hexos Candy Lemon Mint|Hexos lemon mint (lokal dan ekspor)|Pt. konimex|00110019820402|0.375,Hexos Candy Lemon Mint,Hexos lemon mint (lokal dan ekspor),Pt. konimex,00110019820402,0.375
184,Nestle Koko Krunch Cereal Bar Coklat|Koko krunch|Nestle philippines inc|00190019790402|0.375,Nestle Koko Krunch Cereal Bar Coklat,Koko krunch,Nestle philippines inc,00190019790402,0.375
1058,Verlin Crunchy Granola Hazelnut Dark Chocolate|Golite granola dark choco hazelnut|Golite|01101161420316|0.375,Verlin Crunchy Granola Hazelnut Dark Chocolate,Golite granola dark choco hazelnut,Golite,01101161420316,0.375
227,Top Coffee Kopi Gula Toraja|Gambino kopi hari-hari gula aren|Gambino coffee|00120088760518|0.375,Top Coffee Kopi Gula Toraja,Gambino kopi hari-hari gula aren,Gambino coffee,00120088760518,0.375
230,Neo Coffee Kopi Instant Moccachino|Kopi instant|Pt. opal coffee indonesia|00120082160417|0.375,Neo Coffee Kopi Instant Moccachino,Kopi instant,Pt. opal coffee indonesia,00120082160417,0.375
232,Neo Coffee Kopi Instant Caramel Machiato|Es caramel machiato|Kedai kopi oh|01161241501119|0.375,Neo Coffee Kopi Instant Caramel Machiato,Es caramel machiato,Kedai kopi oh,01161241501119,0.375
318,Marjan Syrup Squash Melon|Marjan squash rasa melon|Pt. lasallefood indonesia|00120018940102|0.375,Marjan Syrup Squash Melon,Marjan squash rasa melon,Pt. lasallefood indonesia,00120018940102,0.375
250,Big Soft Drink Cola|Soft drink cola|Pt. holycow danadipa indonesia|00160102890320|0.375,Big Soft Drink Cola,Soft drink cola,Pt. holycow danadipa indonesia,00160102890320,0.375
1134,Supermi Nutrimi Mie Goreng Steak Ayam|Mie goreng ayam|Cv. deris|00340116240321|0.375,Supermi Nutrimi Mie Goreng Steak Ayam,Mie goreng ayam,Cv. deris,00340116240321,0.375
1124,3 Ayam Mie Telor Super Kuning|Bakso telor mie kuning|Bakso jwr|00160077740616|0.375,3 Ayam Mie Telor Super Kuning,Bakso telor mie kuning,Bakso jwr,00160077740616,0.375
1100,Pororo Minuman Berperisa Stroberi|Gresh minuman berperisa stroberi|Pt. greshindo aroma|00120060021211|0.375,Pororo Minuman Berperisa Stroberi,Gresh minuman berperisa stroberi,Pt. greshindo aroma,00120060021211,0.375
1016,Frozz Candy Barley Mint|Frozz barley mint (lokal dan ekspor)|Pt. konimex|00110019820402|0.375,Frozz Candy Barley Mint,Frozz barley mint (lokal dan ekspor),Pt. konimex,00110019820402,0.375
136,Good Time Cookies Assorted|Cookies good time|Pt. merek indah lestari|09160013010220|0.375,Good Time Cookies Assorted,Cookies good time,Pt. merek indah lestari,09160013010220,0.375
26,Beng-Beng Chocolate Drink|Beng-beng drink dark chocolate|Pt. torabika eka semesta|00120015840601|0.375,Beng-Beng Chocolate Drink,Beng-beng drink dark chocolate,Pt. torabika eka semesta,00120015840601,0.375
1260,Kraft Keju Cheddar Olahan|Diamond keju cheddar olahan|Pt. diamond cold storage|00040040820606|0.375,Kraft Keju Cheddar Olahan,Diamond keju cheddar olahan,Pt. diamond cold storage,00040040820606,0.375
978,"Indomaret Snack Kacang Atom / Shanghai|Kacang atom indomaret|Gangsar, ud|07100025710415|0.375",Indomaret Snack Kacang Atom / Shanghai,Kacang atom indomaret,"Gangsar, ud",07100025710415,0.375
427,Cheetos Snack Jagung Bakar|Ceumilanku basreng rasa jagung bakar|Intan snack|01101256731220|0.375,Cheetos Snack Jagung Bakar,Ceumilanku basreng rasa jagung bakar,Intan snack,01101256731220,0.375
1278,Blue Band Margarine Serbaguna|Blue band margarine|Pt. trans retail indonesia|00160095720519|0.375,Blue Band Margarine Serbaguna,Blue band margarine,Pt. trans retail indonesia,00160095720519,0.375
16,"Indomaret Air Mineral|Indomaret  - air mineral|Pt. sariguna primatirta, tbk.|00120045420907|0.375",Indomaret Air Mineral,Indomaret  - air mineral,"Pt. sariguna primatirta, tbk.",00120045420907,0.375
1232,Budy Jam Coklat|Selai coklat budy jam|Bersama cipta mandiri pt|01251001090405|0.375,Budy Jam Coklat,Selai coklat budy jam,Bersama cipta mandiri pt,01251001090405,0.375
40,Ultra Juice Kacang Hijau|Sari kacang hijau ultra jaya|Cv. mam|15160050940620|0.375,Ultra Juice Kacang Hijau,Sari kacang hijau ultra jaya,Cv. mam,15160050940620,0.375
